PA_ID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,GAZ_AREA,GIS_AREA,REPT_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,X_COORD,Y_COORD,MGT_PLAN,RES_NUMBER,EPBC,SHAPE_AREA,SHAPE_LEN
WA_19119,Unnamed WA19119,Nature Reserve,NR,IA,Y,40.3059,40.30174518,40.30174518,"""1936-11-13T00:00:00.000Z""","""1936-11-13T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.45580638,-32.83810453,I,WA19119,State,0.0000388147469586,0.0416190400548
WA_19120,Birdwhistle,Nature Reserve,NR,IA,Y,396.0662,396.36709616,396.36709616,"""1950-09-15T00:00:00.000Z""","""1950-09-15T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.4948983,-32.86885757,I,WA19120,State,0.000381876251099,0.114539815403
WA_19122,Ockley,Nature Reserve,NR,IA,Y,145.0419,145.18766038,145.18766038,"""1934-09-14T00:00:00.000Z""","""1934-09-14T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.39104291,-32.84875975,I,WA19122,State,0.000139848209153,0.0666464631988
WA_19161,Unnamed WA19161,Nature Reserve,NR,IA,Y,11.84,11.84127375,11.84127375,"""1926-03-05T00:00:00.000Z""","""1926-03-05T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,116.07081848,-34.39801157,M,WA19161,State,0.0000116089572154,0.0193041960131
WA_19175,Walpole-Nornalup,National Park,NP,II,Y,4.0469,4.20679982,4.20679982,"""1926-02-13T00:00:00.000Z""","""1926-02-13T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,116.71079077,-35.00766693,M,WA19175,State,0.00000415419516271,0.00896296959912
WA_22096,Flat Rock Gully,Nature Reserve,NR,IA,Y,386.0701,386.36378789,386.36378789,"""1939-12-01T00:00:00.000Z""","""1939-12-01T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,116.41275239,-31.39681473,R,WA22096,State,0.000366393257222,0.0775560735608
WA_16000,Unnamed WA16000,Nature Reserve,NR,IA,Y,1713.4,1717.01199198,1717.01199198,"""1915-06-11T00:00:00.000Z""","""1915-06-11T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.80224346,-31.37130736,I,WA16000,State,0.00162771710948,0.313394075994
WA_16031,Cootayerup,Nature Reserve,NR,IA,Y,39.7246,39.72880559,39.72880559,"""1915-07-16T00:00:00.000Z""","""1915-07-16T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,116.88712607,-34.19597929,I,WA16031,State,0.0000388573554212,0.0272215504075
WA_16040,Warramuggan,Nature Reserve,NR,IA,Y,249.4245,243.64753862,243.64753862,"""1915-07-02T00:00:00.000Z""","""1915-07-02T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.45274065,-30.96582781,I,WA16040,State,0.000230030892617,0.121401156248
WA_16068,Unnamed WA16068,Nature Reserve,NR,IA,Y,52.3342,52.23804094,52.23804094,"""1915-07-20T00:00:00.000Z""","""1915-07-20T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.09611054,-32.72259401,I,WA16068,State,0.0000502472728384,0.066801522911
WA_16070,Koolanooka Dam,Nature Reserve,NR,IA,Y,458.271,458.48438486,458.48438486,"""1915-08-06T00:00:00.000Z""","""1915-08-06T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,116.11239706,-29.25147429,R,WA16070,State,0.000425551949529,0.081447552697
WA_16104,Sorensens,Nature Reserve,NR,IA,Y,107.9853,108.01314053,108.01314053,"""1915-09-01T00:00:00.000Z""","""1915-09-01T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.9215355,-32.12670508,I,WA16104,State,0.000103226738618,0.0596462472622
WA_16136,Tennessee North,Nature Reserve,NR,IA,Y,15.7777,15.81750317,15.81750317,"""1915-09-24T00:00:00.000Z""","""1915-09-24T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.55984975,-35.03809535,M,WA16136,State,0.0000156254475131,0.0166153558238
WA_16144,Capel,Nature Reserve,NR,IA,Y,94.0091,93.98653261,93.98653261,"""1915-09-24T00:00:00.000Z""","""1915-09-24T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,115.54528349,-33.5764388,M,WA16144,State,0.0000912720175929,0.0473738883342
WA_16196,Unnamed WA16196,Nature Reserve,NR,IA,Y,883.6715,883.9721246,883.9721246,"""1922-08-11T00:00:00.000Z""","""1922-08-11T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.83721991,-32.35065223,I,WA16196,State,0.000846842298182,0.206247796243
WA_16226,Ballast Pit,Nature Reserve,NR,IA,Y,12.1406,12.14208435,12.14208435,"""1931-01-30T00:00:00.000Z""","""1931-01-30T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.05036983,-33.58663551,I,WA16226,State,0.0000117927407847,0.0152883671518
WA_16235,Carrabin,Nature Reserve,NR,IA,Y,760.2456,760.85265414,760.85265414,"""1915-12-10T00:00:00.000Z""","""1915-12-10T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.66618177,-31.39518287,I,WA16235,State,0.000721546149249,0.325840392669
WA_16245,Unnamed WA16245,Nature Reserve,NR,IA,Y,270.3294,269.78514713,269.78514713,"""1915-12-17T00:00:00.000Z""","""1915-12-17T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.49483222,-30.80608521,I,WA16245,State,0.00025429324373,0.199915509777
